id,t,d+1,d,L,eps,U
3,23,6.0,6.0,1.0,-0.23338251233036325,38.34982578178344
3,24,6.0,6.0,1.0,-0.3696477258199163,37.1302450977062
3,25,6.0,6.0,1.0,-0.21943419149710106,36.19714316144133
3,26,6.0,6.0,1.0,1.425867696376562,36.75912957872731
3,27,7.0,6.0,0.0,-1.2704015894079612,33.24994641176306
3,28,7.0,7.0,1.0,-0.7649492568386984,32.40168168433668
3,29,7.0,7.0,1.0,1.040119576038334,33.12343504662602
3,30,7.0,7.0,1.0,1.220684276310013,1001.2206842763101
4,1,0.0,0.0,1.0,1.3117123497629901,63.72786099680584
4,2,0.0,0.0,1.0,0.03215452428059857,61.36498770073576
4,3,0.0,0.0,1.0,0.8007102847581726,61.05022799062565
4,4,0.0,0.0,1.0,0.9916474595201312,60.15784969479993
4,5,1.0,0.0,0.0,-1.4560461795406507,57.08288676469211
4,6,1.0,1.0,1.0,0.7416343581894821,57.74120565229391
4,7,1.0,1.0,1.0,0.01480717627479306,55.93106299979154
4,8,1.0,1.0,1.0,2.2694198446816296,57.10236019761069
4,9,2.0,1.0,0.0,-1.183664744625923,52.74962488234138
4,10,2.0,2.0,1.0,1.0131168673669664,53.67942627912067
4,11,2.0,2.0,1.0,1.3872462363062228,52.97024017747224
4,12,2.0,2.0,1.0,-0.9641069849204351,49.5355714856579
4,13,2.0,2.0,1.0,-0.7101888725325056,48.70617412745815
4,14,3.0,2.0,0.0,-1.0535673785971484,47.33304752940297
4,15,3.0,3.0,1.0,0.10796912895396904,47.35770118776925
4,16,3.0,3.0,1.0,-0.39916302088549427,45.7672535673421
4,17,4.0,3.0,0.0,-2.4266925128101375,44.08310111763991
4,18,4.0,4.0,1.0,0.2843027929082927,44.28408843996052
4,19,4.0,4.0,1.0,-0.31279727786272815,42.603672898601815
4,20,4.0,4.0,1.0,-0.4526827117071176,41.38047199416974
4,21,4.0,4.0,1.0,-0.6969875505674324,40.05285168472174
4,22,4.0,4.0,1.0,-0.2744806458309771,39.39204311887051
4,23,4.0,4.0,1.0,-0.4149551669982582,38.16825312711554
4,24,4.0,4.0,1.0,-0.13565189217337456,37.36424093135274
4,25,4.0,4.0,1.0,-0.4344486591082308,35.982128693830205
4,26,5.0,4.0,0.0,-3.115956042673772,34.33326188235075
4,27,5.0,5.0,1.0,-0.8265128004273558,33.42343361133571
4,28,5.0,5.0,1.0,-0.9242070633257725,32.2424238778496
4,29,6.0,5.0,0.0,-1.6520087729774982,31.08331547058769
4,30,7.0,6.0,0.0,-0.5647666336984322,1000.0
5,1,0.0,0.0,1.0,2.718689393603398,65.13483804064624
5,2,0.0,0.0,1.0,-0.4748515072440796,60.85798166921108
5,3,0.0,0.0,1.0,0.20992389690798377,60.459441602775456
5,4,0.0,0.0,1.0,0.46221311313538815,59.62841534841519
5,5,1.0,0.0,0.0,-1.6168857575998556,57.08288676469211
5,6,1.0,1.0,1.0,-0.20786523594050063,56.791706058163925
5,7,1.0,1.0,1.0,1.6301547751154761,57.54641059863223
